
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-05 18:23:12 /frames/cam_1.jpg?t=1775391792370 ........................................................ ~ 2s
  2026-04-05 18:23:13 /frames/cam_1.jpg?t=1775391793371 ........................................................ ~ 1s
  2026-04-05 18:23:14 /api/internal/cameras .................................................................... ~ 1s
  2026-04-05 18:23:14 /frames/cam_1.jpg?t=1775391794372 ........................................................ ~ 1s
  2026-04-05 18:23:13 /snapshots/cam_1_20260405_182311_133.jpg ................................................. ~ 2s
  2026-04-05 18:23:15 /frames/cam_1.jpg?t=1775391795371 .................................................... ~ 9.96ms
  2026-04-05 18:23:16 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:23:16 /frames/cam_1.jpg?t=1775391796369 ........................................................ ~ 1s
  2026-04-05 18:23:17 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:18 /api/internal/alert ...................................................................... ~ 1s
  2026-04-05 18:23:17 /frames/cam_1.jpg?t=1775391797371 ........................................................ ~ 2s
  2026-04-05 18:23:19 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:18 /frames/cam_1.jpg?t=1775391798371 ........................................................ ~ 2s
  2026-04-05 18:23:19 /frames/cam_1.jpg?t=1775391799373 ........................................................ ~ 1s
  2026-04-05 18:23:20 /frames/cam_1.jpg?t=1775391800359 .................................................... ~ 5.39ms
  2026-04-05 18:23:21 /frames/cam_1.jpg ........................................................................ ~ 1s
  2026-04-05 18:23:22 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:23:22 /api/internal/alert ...................................................................... ~ 2s
  2026-04-05 18:23:24 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:23 /frames/cam_1.jpg?t=1775391802359 ........................................................ ~ 2s
  2026-04-05 18:23:24 /frames/cam_1.jpg?t=1775391803365 ........................................................ ~ 1s
  2026-04-05 18:23:25 /api/detections/latest ................................................................... ~ 1s
  2026-04-05 18:23:25 /snapshots/cam_1_20260405_182318_220.jpg ................................................. ~ 1s
  2026-04-05 18:23:25 /frames/cam_1.jpg?t=1775391804361 ........................................................ ~ 1s
  2026-04-05 18:23:25 /frames/cam_1.jpg?t=1775391805361 ........................................................ ~ 1s
  2026-04-05 18:23:26 /api/detections/report ................................................................... ~ 1s
  2026-04-05 18:23:26 /frames/cam_1.jpg?t=1775391806364 ........................................................ ~ 1s
  2026-04-05 18:23:27 /frames/cam_1.jpg?t=1775391807365 .................................................... ~ 6.60ms
  2026-04-05 18:23:27 /snapshots/cam_1_20260405_182321_363.jpg ............................................. ~ 1.95ms
